Comment,Designator,Footprint,LCSC
2.2K,"R75,R76",R_0603_1608Metric,C101304
47K,R24,R_1210_3225Metric,C105023
BCM857BS,Q2,SOT-363_SC-70-6,C105896
2.2uF,"C24,C27,C67",C_0402_1005Metric,C107370
Micro_SD_Card_Det_Hirose_DM3AT,J1,microSD_HC_Hirose_DM3AT-SF-PEJM5,C114218
47uF,"C37,C49",CP_Elec_4x5.4,C114447
22R,"R54,R55,R56,R57,R58,R59",R_0402_1005Metric,C114765
BUTTON_RESET,"SW1,SW2,SW6",SW_Push_SPST_NO_Alps_SKRK,C115357
1K,"R28,R34,R38,R51,R53",R_0402_1005Metric,C11702
2.2uF,"C68,C70",C_0402_1005Metric,C12530
DAC,"J11,J12,J16,J17,J18,J19,J7,J8",PJ-316A-6A,C128987
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
33R,"R60,R61,R62,R64,R65,R66,R67,R68,R69,R70,R71",R_0402_1005Metric,C138002
ENCODER,"SW4,SW5",PEC11R-4015F-S0024,C143789
UART,"J5,J6",IDC-Header_2x03_P2.54mm_Horizontal,C146629
AO3401A,"Q1,Q3",SOT-23,C15127
74AHC1G125,U6,SOT-353_SC-70-5,C151890
100nF,"C11,C12,C14,C15,C17,C18,C19,C20,C21,C22,C23,C25,C30,C38,C39,C40,C41,C42,C43,C44,C45,C50,C52,C53,C54,C55,C56,C6,C69,C7,C71,C73,C75,C76,C77,C78,C79,C8,C80",C_0402_1005Metric,C1525
220pF,"C57,C60",C_0402_1005Metric,C1530
470pF,"C58,C59",C_0402_1005Metric,C1537
12pF,"C13,C9",C_0402_1005Metric,C1547
10uF,"C1,C2",C_0805_2012Metric,C15850
5Ω@100MHz,"FB2,FB3",L_0402_1005Metric,C160969
HOST(DFP),"J10,J9",USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
10uH,L3,L_Changjiang_FNR4030S,C167879
22uH,L2,L_Changjiang_FNR4030S,C167883
10nF,C4,C_0805_2012Metric,C1710
1.2K,R22,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17379
1K,"R1,R2,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513
20R,R18,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17544
2K,"R20,R21",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17604
H11L1SR2M,U5,SMDIP-6_W9.53mm,C20082
LED_CHRG,D6,LED_0805_2012Metric,C2296
4.7uF,"C26,C29,C72,C74",C_0402_1005Metric,C23733
SS14,"D10,D14,D4,D8,D9",D_SMA,C2480
10R,R7,R_0402_1005Metric,C25077
100K,R47,R_0805_2012Metric,C25611
10K,"R10,R11,R12,R13,R14,R15,R16,R17,R25,R26,R27,R29,R30,R31,R32,R33,R35,R36,R37,R50,R52,R63,R9",R_0402_1005Metric,C25744
39nH,L1,L_0402_1005Metric,C26443
ECMF02-2AMX6,U7,ST_UQFN-6L_1.5x1.7mm_P0.5mm,C2651144
MP34DT05TR-A,"U10,U11",MP34DT05TR-A_STM,C2688664
1K,R19,R_1210_3225Metric,C270888
100nF,"C33,C35",C_0805_2012Metric,C28233
FPC-40,J2,CONN-SMD_40P-P0.50-H_THD0525-40CL-GF,C283185
1uF,C3,C_0805_2012Metric,C28323
ARM_JTAG_SWD(STDC14),J14,PinHeader_2x07_P1.27mm_Vertical_SMD,C2881912
TP5400,U4,SOP-8_3.9x4.9mm_P1.27mm,C2891434
10K,"R78,R79",R_0603_1608Metric,C2924143
Battery_18650_Plus,"J3,J4",MY-18650-01,C2979183
100nF,"C47,C48",C_1206_3216Metric,C3015151
SP0503BAHT,"D12,D13",SOT-143,C3040626
1uF,C46,C_0805_2012Metric,C307362
WM8904CGEFL/V,U13,QFN40P400X400X80-33N,C323845
470R,R42,R_0805_2012Metric,C328396
47R,"R40,R41",R_0805_2012Metric,C328398
LED,"D1,D2,D3,D5",LED_0805_2012Metric,C34499
SS32,D7,D_SMA,C34897
56K,"R45,R46",R_0402_1005Metric,C352409
1uF,C31,C_0805_2012Metric,C386107
TLV9001IDCK,U9,SOT-353_SC-70-5,C398362
5.1K,"R43,R44",R_0402_1005Metric,C409730
5.6K,"R72,R73,R74,R77",R_0603_1608Metric,C417107
20K,"R48,R49",R_0805_2012Metric,C4328
22uF,"C34,C36",C_0805_2012Metric,C45783
10K,R23,R_1210_3225Metric,C474295
220R,R39,R_0805_2012Metric,C479094
TPS2041B,U8,SOT-23-5,C51386
1uF,"C10,C16,C28,C5,C51,C61,C62,C64,C65",C_0402_1005Metric,C52923
20R,"R80,R81,R82,R83",R_0603_1608Metric,C544033
AMS1117-3.3,U1,SOT-223-3_TabPin2,C6186
10uF,"C63,C66",CP_EIA-3216-18_Kemet-A,C7171
CAT4139TD-GT3,U3,SOT95P280X100-5N,C72110
STM32H723ZGTx,U2,LQFP-144_20x20mm_P0.5mm,C730146
600Ω@100MHz,FB1,L_1206_3216Metric,C73732
S70KL1282,U12,BGA24C100P5X5_600X800X100,C7428856
GPIO,J13,IDC-Header_2x17_P2.54mm_Horizontal,C79866
1N914WT,D11,D_SOD-523,C896167
4.7uF,C32,C_0805_2012Metric,C90791
SW_SPDT,SW3,MK-12F03-G015,C963208
2.2K,"R3,R4,R5,R6",R_0402_1005Metric,C966835
M3 Mounting Hole,H2,MountingHole_3.2mm_M3_Pad_Via,
M3 Mounting Hole,H1,MountingHole_3.2mm_M3_Pad_Via,
M3 Mounting Hole,H4,MountingHole_3.2mm_M3_Pad_Via,
M3 Mounting Hole,H3,MountingHole_3.2mm_M3_Pad_Via,
BUTTON,SW8,SW_Cherry_MX_PCB,
BUTTON,SW7,SW_Cherry_MX_PCB,
