Comment,Designator,Footprint,LCSC
"2.2uF","C11,C12","Capacitor_SMD:C_0603_1608Metric","C23630"
"1uF","C13,C15,C17,C19","Capacitor_SMD:C_0402_1005Metric","C52923"
"100nF","C1,C2,C3,C4,C14,C16,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C37,C41,C43,C45,C47,C54,C55,C56,C57,C58,C59,C60,C61,C62","Capacitor_SMD:C_0402_1005Metric","C1525"
"10nF","C18","Capacitor_SMD:C_0402_1005Metric","C15195"
"220uF","C34,C35","Capacitor_SMD:CP_Elec_6.3x5.4","C3345"
"10uF","C36,C42,C44,C46,C48,C51,C53","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A","C7171"
"1uF","C38,C40","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A","C7175"
"220pF","C39,C49","Capacitor_SMD:C_0805_2012Metric","C53172"
"18pF","C50,C52","Capacitor_SMD:C_0805_2012Metric","C1797"
"10uF","C5,C6,C7,C8","Capacitor_SMD:C_0805_2012Metric","C15850"
"12pF","C9,C10","Capacitor_SMD:C_0402_1005Metric","C1547"
"LED","D1,D2,D3,D4","LED_THT:LED_D3.0mm","C34499"
"600Î©@100MHz","FB1","Inductor_SMD:L_1206_3216Metric","C73732"
"MountingHole","H1,H2,H3,H4","MountingHole:MountingHole_3.2mm_M3_Pad_Via",""
"RJ45","J1","Connector_RJ:RJ45_molex_95503-2884-8P8C_Vertical",""
"HEADPHONE_OUT","J10","KLST_CORE:STX36805NB",""
"LINE_IN","J11","KLST_CORE:STX36805NB",""
"EURO_IN_RIGHT","J12","KLST_CORE:STX36805NB",""
"EURO_OUT_RIGHT","J13","KLST_CORE:STX36805NB",""
"EURO_IN_LEFT","J14","KLST_CORE:STX36805NB",""
"EURO_OUT_LEFT","J15","KLST_CORE:STX36805NB",""
"SPI_00","J16","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical",""
"UART_00","J17","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical",""
"I2C_00","J18","Connector_IDC:IDC-Header_2x04_P2.54mm_Vertical",""
"UART_01","J19","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical",""
"Micro_SD_Card","J2","Connector_Card:microSD_HC_Wuerth_693072010801",""
"SPI_01","J20","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical",""
"I2C_01","J21","Connector_IDC:IDC-Header_2x04_P2.54mm_Vertical",""
"UART_02","J22","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical",""
"SPI_02","J23","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical",""
"I2C_02","J24","Connector_IDC:IDC-Header_2x04_P2.54mm_Vertical",""
"USB_A","J3","Connector_USB:USB_A_Molex_105057_Vertical",""
"USB_B_Micro","J4","Connector_USB:USB_Micro-B_Wuerth_614105150721_Vertical",""
"GPIO+ANALOG_IO_PINS","J5","Connector_PinHeader_2.54mm:PinHeader_2x14_P2.54mm_Vertical",""
"EURORACK_POWER_SUPPLY","J8","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical",""
"ARM_JTAG_SWD","J9","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD",""
"BUTTON_BOOT_FLASH_EXT","JP1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"JUMPER_SIGNAL_OUT_LEFT","JP10","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"BUTTON_RESET_EXT","JP2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"BUTTON_USER_00_EXT","JP3","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"BUTTON_USER_01_EXT","JP4","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"BUTTON_PROGRAMMER_EXT","JP5","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"USB_POWER_INPUT","JP6","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"JUMPER_SIGNAL_IN_RIGHT","JP7","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"JUMPER_SIGNAL_OUT_RIGHT","JP8","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"JUMPER_SIGNAL_IN_LEFT","JP9","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"39nH","L1","Inductor_SMD:L_0402_1005Metric","C26443"
"AO3401A","Q1","Package_TO_SOT_SMD:SOT-23","C15127"
"10K","R9,R10,R11,R12,R16,R39,R41,R42,R43,R44,R45,R47,R48,R49,R50,R51,R53,R54,R55,R56","Resistor_SMD:R_0402_1005Metric","C25744"
"1K","R13,R14,R15,R40,R46,R52","Resistor_SMD:R_0402_1005Metric","C11702"
"10R","R17","Resistor_SMD:R_0402_1005Metric","C25077"
"5.6K","R18","Resistor_SMD:R_0402_1005Metric","C25908"
"2.2K","R19,R20,R57,R58,R59,R60,R61,R62","Resistor_SMD:R_0402_1005Metric","C25879"
"47K","R21,R22","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17713"
"5.6K","R23,R24,R25,R26,R30,R36","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C4382"
"22K","R29,R35","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17560"
"3.3K","R27,R33","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C26010"
"1K","R31,R37","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C4410"
"39K","R28,R32,R34,R38","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C25826"
"22R","R1,R2,R3,R4","Resistor_SMD:R_0402_1005Metric","C25092"
"1K","R5,R6,R7","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17513"
"1K","R8","Resistor_SMD:R_0805_2012Metric","C17513"
"50K","RV1,RV2","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical",""
"BUTTON_BOOT_FLASH","SW1","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm",""
"BUTTON_RESET","SW2","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm",""
"BUTTON_USER_00","SW3","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm",""
"BUTTON_USER_01","SW4","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm",""
"BUTTON_PROGRAMMER","SW5","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm",""
"POWER_SELECTOR","SW6","KLST_CORE:G1070513",""
"ENCODER","SW7,SW8,SW9","Rotary_Encoder:RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm",""
"STM32H743IITx","U1","Package_QFP:LQFP-176_24x24mm_P0.5mm","C89597"
"AMS1117-5.0","U2","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6187"
"AMS1117-3.3","U3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6186"
"WM8731SEDS","U4","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","C323837"
"TL072","U5,U6","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C6961"
"KLST_CORE--graphics","X1","KLST_CORE:KLST_CORE--graphics",""
"16MHz","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","C13738"